 ,Median Household Income by State by Race of  Householder,,,,
,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
,"$64,431 ","$40,359 ","$41,624 ","$72,091 ","$55,870 "
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Average Income of Races  ,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,
