Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
29-1069.01,Allergists and Immunologists,100,95,84,93.0
29-1011.00,Chiropractors,100,53,96,83.0
29-2021.00,Dental Hygienists,100,100,100,100.0
29-1069.02,Dermatologists,100,93,98,97.0
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",100,40,75,71.67
43-6013.00,Medical Secretaries,100,53,71,74.67
29-1064.00,Obstetricians and Gynecologists,100,94,97,97.0
29-1069.06,Ophthalmologists,100,92,92,94.67
29-1199.05,Orthoptists,100,75,91,88.67
31-2021.00,Physical Therapist Assistants,100,76,94,90.0
29-1123.00,Physical Therapists,100,67,100,89.0
43-4171.00,Receptionists and Information Clerks,100,31,52,61.0
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,100,12,81,64.33
29-2054.00,Respiratory Therapy Technicians,100,98,98,98.67
39-1021.01,Spa Managers,100,11,82,64.33
25-2051.00,"Special Education Teachers, Preschool",100,52,87,79.67
31-9099.01,Speech-Language Pathology Assistants,100,51,78,76.33
41-9041.00,Telemarketers,100,5,77,60.67
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",99,0,43,47.33
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",99,28,83,70.0
29-2031.00,Cardiovascular Technologists and Technicians,99,74,97,90.0
21-1021.00,"Child, Family, and School Social Workers",99,37,56,64.0
43-4041.02,Credit Checkers,99,0,69,56.0
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",99,36,64,66.33
39-1021.00,First-Line Supervisors of Personal Service Workers,99,29,87,71.67
43-3041.00,Gaming Cage Workers,99,16,77,64.0
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",99,3,64,55.33
13-1032.00,"Insurance Appraisers, Auto Damage",99,12,41,50.67
43-4131.00,Loan Interviewers and Clerks,99,17,45,53.67
29-1199.04,Naturopathic Physicians,99,91,88,92.67
29-1023.00,Orthodontists,99,78,92,89.67
41-2022.00,Parts Salespersons,99,0,67,55.33
43-5031.00,"Police, Fire, and Ambulance Dispatchers",99,11,60,56.67
11-9131.00,Postmasters and Mail Superintendents,99,17,56,57.33
11-3051.01,Quality Control Systems Managers,99,16,48,54.33
29-1124.00,Radiation Therapists,99,95,98,97.33
27-4013.00,Radio Operators,99,21,62,60.67
29-2034.00,Radiologic Technologists,99,92,89,93.33
41-9022.00,Real Estate Sales Agents,99,4,71,58.0
21-1093.00,Social and Human Service Assistants,99,58,79,78.67
29-1069.11,Sports Medicine Physicians,99,94,100,97.67
27-2012.05,Technical Directors/Managers,99,1,67,55.67
43-3071.00,Tellers,99,34,76,69.67
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,99,87,88,91.33
43-3011.00,Bill and Account Collectors,98,8,45,50.33
33-3012.00,Correctional Officers and Jailers,98,72,81,83.67
41-2021.00,Counter and Rental Clerks,98,10,68,58.67
33-2021.01,Fire Inspectors,98,35,60,64.33
33-2021.02,Fire Investigators,98,63,74,78.33
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",98,2,65,55.0
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,98,16,66,60.0
29-2092.00,Hearing Aid Specialists,98,49,79,75.33
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",98,14,53,55.0
43-4111.00,"Interviewers, Except Eligibility and Loan",98,23,73,64.67
13-1121.00,"Meeting, Convention, and Event Planners",98,0,72,56.67
29-1069.04,Neurologists,98,77,79,84.67
43-4141.00,New Accounts Clerks,98,17,59,58.0
31-1015.00,Orderlies,98,97,97,97.33
43-4051.03,Patient Representatives,98,77,76,83.67
31-2022.00,Physical Therapist Aides,98,86,95,93.0
29-1071.00,Physician Assistants,98,93,88,93.0
33-3051.01,Police Patrol Officers,98,61,73,77.33
27-2012.03,Program Directors,98,0,42,46.67
29-1141.00,Registered Nurses,98,95,94,95.67
39-5093.00,Shampooers,98,10,91,66.33
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",98,49,83,76.67
25-2053.00,"Special Education Teachers, Middle School",98,55,81,78.0
25-2054.00,"Special Education Teachers, Secondary School",98,32,74,68.0
43-2011.00,"Switchboard Operators, Including Answering Service",98,30,63,63.67
43-2021.00,Telephone Operators,98,12,68,59.33
29-2056.00,Veterinary Technologists and Technicians,98,67,92,85.67
53-1011.00,Aircraft Cargo Handling Supervisors,97,10,68,58.33
39-3091.00,Amusement and Recreation Attendants,97,25,84,68.67
15-1151.00,Computer User Support Specialists,97,8,64,56.33
27-3043.04,Copy Writers,97,7,49,51.0
31-9091.00,Dental Assistants,97,96,99,97.33
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",97,9,58,54.67
39-4011.00,Embalmers,97,83,64,81.33
33-1012.00,First-Line Supervisors of Police and Detectives,97,57,77,77.0
53-2031.00,Flight Attendants,97,77,96,90.0
11-9051.00,Food Service Managers,97,10,78,61.67
41-2012.00,Gaming Change Persons and Booth Cashiers,97,27,70,64.67
39-1011.00,Gaming Supervisors,97,19,84,66.67
27-3091.00,Interpreters and Translators,97,56,66,73.0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,97,94,90,93.67
